# Adversary Name	KEY	SIZE	MONSTERCLASS	TYPE	EVASION	HP	DESC	ABILITY	SOURCEPAGE
# --- Tier 0 / Minions & Vermin ---
Zombie Shambler	KEY:Zombie Shambler (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Bruiser	EVASION:8	HP:6	DESC:Tier 1 Bruiser | Difficulty: 10 | Thresholds: 6/14	ABILITY:Special Ability|AUTOMATIC|Undead Fortitude ~ Adversary|Grasping Claws ~ Adversary	SOURCEPAGE:p.95
Young Owlbear	KEY:Young Owlbear (Adversary)	SIZE:L	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Solo	EVASION:11	HP:8	DESC:Tier 1 Solo | Difficulty: 13 | Thresholds: 8/16	ABILITY:Special Ability|AUTOMATIC|Terrifying Roar ~ Adversary|Beak and Claw ~ Adversary	SOURCEPAGE:p.96
Animated Armor	KEY:Animated Armor (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Support	EVASION:9	HP:5	DESC:Tier 1 Support | Difficulty: 12 | Thresholds: 8/16	ABILITY:Special Ability|AUTOMATIC|Constructed Resilience ~ Adversary|Shield Ally ~ Adversary	SOURCEPAGE:p.97

# --- Tier 2 (Levels 5–7) ---
Ogre Bruiser	KEY:Ogre Bruiser (Adversary)	SIZE:L	MONSTERCLASS:Adversary:2	TYPE:Adversary.Tier2.Bruiser	EVASION:9	HP:8	DESC:Tier 2 Bruiser | Difficulty: 13 | Thresholds: 12/24	ABILITY:Special Ability|AUTOMATIC|Sweeping Club ~ Adversary|Ground Slam ~ Adversary	SOURCEPAGE:p.98
Bandit Captain	KEY:Bandit Captain (Adversary)	SIZE:M	MONSTERCLASS:Adversary:2	TYPE:Adversary.Tier2.Leader	EVASION:13	HP:7	DESC:Tier 2 Leader | Difficulty: 14 | Thresholds: 10/20	ABILITY:Special Ability|AUTOMATIC|Rally the Scoundrels ~ Adversary|Dirty Parry ~ Adversary	SOURCEPAGE:p.99
Shadow Stalker	KEY:Shadow Stalker (Adversary)	SIZE:M	MONSTERCLASS:Adversary:2	TYPE:Adversary.Tier2.Skirmisher	EVASION:14	HP:6	DESC:Tier 2 Skirmisher | Difficulty: 15 | Thresholds: 9/18	ABILITY:Special Ability|AUTOMATIC|Shadow Meld ~ Adversary|Draining Strike ~ Adversary	SOURCEPAGE:p.100
Cave Troll	KEY:Cave Troll (Adversary)	SIZE:L	MONSTERCLASS:Adversary:2	TYPE:Adversary.Tier2.Solo	EVASION:10	HP:10	DESC:Tier 2 Solo | Difficulty: 15 | Thresholds: 14/28	ABILITY:Special Ability|AUTOMATIC|Regeneration ~ Adversary|Rend ~ Adversary	SOURCEPAGE:p.101
Manticore	KEY:Manticore (Adversary)	SIZE:L	MONSTERCLASS:Adversary:2	TYPE:Adversary.Tier2.Solo	EVASION:12	HP:9	DESC:Tier 2 Solo | Difficulty: 14 | Thresholds: 12/25	ABILITY:Special Ability|AUTOMATIC|Spike Volley ~ Adversary|Toxic Sting ~ Adversary	SOURCEPAGE:p.102

# --- Tier 3 (Levels 8–9) ---
Adult Forest Drake	KEY:Adult Forest Drake (Adversary)	SIZE:L	MONSTERCLASS:Adversary:3	TYPE:Adversary.Tier3.Solo	EVASION:14	HP:12	DESC:Tier 3 Solo | Difficulty: 16 | Thresholds: 18/36	ABILITY:Special Ability|AUTOMATIC|Tail Swipe ~ Adversary|Acid Breath ~ Adversary|Draconic Flight ~ Adversary	SOURCEPAGE:p.104
Vampire Noble	KEY:Vampire Noble (Adversary)	SIZE:M	MONSTERCLASS:Adversary:3	TYPE:Adversary.Tier3.Leader	EVASION:15	HP:10	DESC:Tier 3 Leader | Difficulty: 17 | Thresholds: 16/32	ABILITY:Special Ability|AUTOMATIC|Dominate Mind ~ Adversary|Blood Drain ~ Adversary|Mist Escape ~ Adversary	SOURCEPAGE:p.105
Stone Golem	KEY:Stone Golem (Adversary)	SIZE:L	MONSTERCLASS:Adversary:3	TYPE:Adversary.Tier3.Bruiser	EVASION:8	HP:14	DESC:Tier 3 Bruiser | Difficulty: 16 | Thresholds: 22/44	ABILITY:Special Ability|AUTOMATIC|Magic Immunity ~ Adversary|Slow Field ~ Adversary|Crushing Fist ~ Adversary	SOURCEPAGE:p.106
Hydra	KEY:Hydra (Adversary)	SIZE:H	MONSTERCLASS:Adversary:3	TYPE:Adversary.Tier3.Solo	EVASION:11	HP:16	DESC:Tier 3 Solo | Difficulty: 17 | Thresholds: 20/40	ABILITY:Special Ability|AUTOMATIC|Multiple Heads ~ Adversary|Reactive Snapping ~ Adversary	SOURCEPAGE:p.107

# --- Tier 4 (Apex / Level 10) ---
Ancient Cinder Wyrm	KEY:Ancient Cinder Wyrm (Adversary)	SIZE:G	MONSTERCLASS:Adversary:4	TYPE:Adversary.Tier4.Solo	EVASION:16	HP:20	DESC:Tier 4 Apex Solo | Difficulty: 19 | Thresholds: 28/56	ABILITY:Special Ability|AUTOMATIC|Cataclysmic Breath ~ Adversary|Infernal Aura ~ Adversary|Wing Buffet ~ Adversary	SOURCEPAGE:p.110
Arch-Lich	KEY:Arch-Lich (Adversary)	SIZE:M	MONSTERCLASS:Adversary:4	TYPE:Adversary.Tier4.Solo	EVASION:16	HP:18	DESC:Tier 4 Apex Solo | Difficulty: 20 | Thresholds: 24/48	ABILITY:Special Ability|AUTOMATIC|Disintegrate Ray ~ Adversary|Soul Cage ~ Adversary|Paralyzing Touch ~ Adversary	SOURCEPAGE:p.112
